company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,company_email
Therapeutic Goods Administration,https://www.linkedin.com/company/therapeutic-goods-administration,https://www.linkedin.com/company/973335,tga.gov.au,"We safeguard and enhance the health of the Australian community through effective and timely regulation of therapeutic goods, including medicines, biologicals and medical devices.Our aim is to ensure therapeutic goods available in Australia are of an acceptable standard.The TGA regulates therapeutic goods through: pre-market assessment, post-market monitoring and enforcement of standards, and licensing of Australian manufacturers and verifying overseas manufacturers' compliance with the same standards as their Australian counterparts.",1989,636,Australia,,,,,,,,+61226232844,government administration,,,,,501-1000,"https://twitter.com/TGAgovau, https://www.facebook.com/TGAgovau/",,,,,,,,
Australian Public Service,https://www.linkedin.com/company/australianpublicservice,https://www.linkedin.com/company/18079786,apsjobs.gov.au,"The work of the Australian Public Service (APS) touches almost every part of Australian life. We provide policy advice to the Australian government on everything from national health to foreign policy.Work towards something greater than yourself.The Australian Public Service (APS) offers a clear purpose and meaningful work where you can make a positive impact in people's lives.Every employee contributes to improving outcomes for Australia and the Australian people. We do this by providing impartial and informed advice to the government of the day, implementing key policies and delivering services to the Australian community. The work we do touches all aspects of life including social welfare, the economy, national security and the environment.If you'd like to feel a strong connection to your work and you're committed, accountable and open to change, join us in shaping Australia's future.We work all over Australia and internationally to manage the delivery of programs, regulations and services that make a difference to Australia and its citizens. We aspire to be representative of the diverse Australian community, and lead the way for other sectors. Through the government, we work to shape Australia.Creating your future in the APS means making a real contribution, having a vast range of career opportunities and being supported in your role.",1901,3427,"Canberra, Australian Capital Territory, Australia",,,Canberra,,,"16 furzer st, canberra, australian capital territory, australia",2606,+610262023500,government relations services,government relations,,,,1001-5000,https://twitter.com/APS_Commission,,27944000,"Nginx, Mobile Friendly, Google Tag Manager, Acquia Cloud, Amazon SES, Microsoft Office 365, Microsoft Application Insights, Drupal",,,,,
APM,https://www.linkedin.com/company/apmservices,https://www.linkedin.com/company/627859,apm.net.au,"APM is a health and human services company of more than 14,500 people in 11 countries with a global purpose - to enable better lives.Our purpose drives us. It’s why we come to work. It’s why we continue to grow. It’s how we inspire excellence and exceptional service with everyone we meet.We started in 1994 as a small team in Perth, Western Australia, looking to provide better vocational rehabilitation for injured workers so they could recover their health and stay in their jobs.Today we’re an international human services provider with more than 1,000 locations across Australia, United Kingdom, Canada, United States of America, New Zealand, Germany, Switzerland, Spain, Sweden, Singapore, and South Korea.For people with injury, illness, or disability, as well as children and the elderly, the unemployed, and those facing hardship or harm, our teams make a positive and lasting social impact every day.We take immense pride in empowering people to realise their ambitions and aspirations through sustainable employment, independence, better health, and wellbeing, and increased social participation.Each year globally, APM now supports more than 2.1 million people of all ages to live a better quality of life",1994,3243,"Kings Park, Western Australia, Australia",,,Perth,,,"58 ord street, perth, western australia 6005, au",6005,+61894861244,health and human services,government administration,"health, wellness and fitness",,"Employment Services,Injury Management,Health Care Services,NDIS (National Disability Insurance Scheme),Risk Assessments,Return-to-Work,Workplace modifications,Human Services,Community Services,Disability inclusion,Mental health support,Vocational rehabilitation,Workplace wellbeing,Employee Assistance Programs,NDIS Local Area Coordination,Assessments",1001-5000,https://www.facebook.com/APMAustralia,"assessments, human services, mental health support, ndis, workplace wellbeing, risk assessments, employment services, employee assistance programs, injury management, vocational rehabilitation, community services, health care services, disability inclusion, returntowork, workplace modifications, ndis local area coordination",8950000,"reCAPTCHA, YouTube, Ruby On Rails, Outlook, Mobile Friendly, Microsoft-IIS, Microsoft Office 365, Microsoft Azure Hosting, Hotjar, Google Tag Manager, Google Maps (Non Paid Users), Google Maps, Bootstrap Framework, Atlassian Cloud, ASP.NET",,,,,sales@apm.net.au
Autism Spectrum Australia (Aspect),https://www.linkedin.com/company/aspect-autism-spectrum-australia,https://www.linkedin.com/company/1411730,aspect.org.au,"Together, we’re inspired by a different brilliant – understanding, engaging & celebrating the strengths, interests & aspirations of people on the autism spectrum.Aspect(Autism Spectrum Australia) is a not for profit organisation and Australia’s largest national service provider for people on the autism spectrum. Our specialised, evidence-informed schools program is the largest in the world with additional services that include information and advice, diagnostic assessments, behaviour support, parent & family support and adult programs.• Our work is focused on the strengths and interests of people on the spectrum• We work in partnership with people on the spectrum, their families & their communities• We work to understand people on the spectrum from their perspective• Our approach is autism-specific• Our research focuses on best practice• We expect positive change & progress• Together we can achieve positive outcomesCareer Opportunities @ AspectWhether you’re helping us in shared services or working directly with the people we support, you will be committed to our person-centred, evidence-informed environment.  You’ll go the extra mile and will never lose sight of what’s possible.  In return, we’ll recognise your achievements, support your development and help you achieve the right balance between work and life. Join Aspect for a career that creates opportunities!",1966,527,"Chatswood, New South Wales, Australia",,,Chatswood,,,"821 pacific highway, level 5, tower b, zenith building, chatswood, nsw 2067, au",2067,+611800277328,education administration programs,government administration,,,"Accommodation & Lifestyle Services,Allied Health Therapists,Aspect Comprehensive Approach,Autism Spectrum,Careers at Aspect,Diagnosis & Assessments,Disability Employment Services,Early Intervention Services,Education & Research,Fundraising & Donations,Individualised Programs & Support,Information & Advice,National Disability Insurance Scheme (NDIS),Parent & Carer Support Programs,Positive Behaviour Support,Psychologists/Social Workers/Occupational therapists/Speech Pathologists,Special Education Schools,Special Education Teachers & Teacher’s Aides,Support Workers,Workshops for Professionals, Families & Carers",501-1000,"https://twitter.com/AutismSpectAust, http://www.facebook.com/AutismSpectrumAustralia","research, education, assessments, accommodation, fundraising, diagnosis, information, support, lifestyle services, psychologists, advice, donations, autism spectrum, families, social workers, national disability insurance scheme, positive behaviour support, early intervention services, special education teachers, occupational therapists, carers, parent, support workers, disability employment services, special education schools, speech pathologists, workshops for professionals, allied health therapists, aspect comprehensive approach, careers at aspect, individualised programs, carer support programs, teachers aides",3274000,"reCAPTCHA, Ubuntu, Shopify, Salesforce, Outlook, Mobile Friendly, Mimecast, Hotjar, Google Tag Manager, Google Font API, Google Analytics, Facebook Widget, Facebook Login (Connect), Facebook Custom Audiences, DNS Made Easy, BugHerd, Apache",,,,,
Goodstart Early Learning,https://www.linkedin.com/company/goodstart-early-learning,https://www.linkedin.com/company/1785780,goodstart.org.au,"About us Goodstart is Australia’s largest provider of early learning and care. As a not-for-profit social enterprise, we exist purely to improve the lives of Australia’s children and their families.Goodstart was formed in 2009 thanks to a unique combination of private, public and leading community sector organisations — The Benevolent Society, the Brotherhood of St Laurence, Mission Australia and Social Ventures Australia.We deliver social impact on a national scale by offering evidence-informed early learning and care in hundreds of centres nationally, supporting families and influencing the broader community through our advocacy work, which aims to increase investment in the early years to ensure all children have access to quality early learning. Goodstart is a social enterprise with social purpose at its heart, but our head operates with business discipline to deliver healthy operating margins for continued investment in centres, people and programs to deliver on our vision and purpose.We operate 644 early learning centres in all states and territories of Australia, caring for 70,900 children from 59,500 families and employing 14,900 people.Our vision is for Australia’s children to have the best possible start in life.Our purpose is to ensure children have the learning, development and wellbeing outcomes they need for school and life.We're people with purpose Goodstart is a not-for-profit social enterprise, so we attract people who want to make a difference. We provide enhanced services and multi-skilled teams to meet a diverse range of learning needs. And we offer our people specialist training so they can help all children, including those with additional needs or facing disadvantage.Like to know more? Visit: goodstart.org.au",2010,4538,"Murarrie, Queensland, Australia",,,"Murarrie, BRISBANE",,,"43 metroplex ave, murarrie, brisbane, qld 4172, au",4172,+611800222543,education administration programs,government administration,,,"early learning,kindergarten,childcare,preschool,early learning centres",1001-5000,"https://twitter.com/GoodStartel, https://www.facebook.com/goodstartel/","preschool, childcare, early learning, kindergarten, early learning centres",813221000,"reCAPTCHA, Vimeo, SuccessFactors (SAP), Outlook, Mobile Friendly, MailChimp SPF, Kentico, Hotjar, Google Tag Manager, Google Maps, Google Dynamic Remarketing, Google AdWords Conversion, Google AdSense, Genesys, Facebook Custom Audiences, DoubleClick Conversion, Amazon SES, ASP.NET",,,,,
National Disability Services,https://www.linkedin.com/company/national-disability-services,https://www.linkedin.com/company/428665,nds.org.au,"Australia's peak body for disability service organisations, representing more than 1,000 service providers. Collectively, NDS members operate several thousand services for Australians with all types of disability.Learn how NDS operates our social media platforms via our Community Standards Policy: https://nds.org.au/item/nds-social-media-community-standards-policy",1945,199,"Mount Pritchard, New South Wales, Australia",,,Sydney,,,"38 sir donald bradman dr, sydney, new south wales, australia",2145,+610383414300,public policy offices,public policy,,,,51-200,"https://twitter.com/NDS_Disability, https://www.facebook.com/nationaldisabilityservices/",,20731000,"Vimeo, Ubuntu, Outlook, Nginx, Mobile Friendly, Google Tag Manager, Cloudflare DNS, Bootstrap Framework, Amazon AWS",,,,,
City of Gold Coast,https://www.linkedin.com/company/city-of-gold-coast,https://www.linkedin.com/company/3281,qld.gov.au,"This is the official Linkedin page of the Council of the City of Gold Coast.The Gold Coast is Australia's sixth largest city. It is home to over 635,000 people. We are a city known for our lifestyle and diversity, with almost one in three residents born overseas.The city boasts close to one million visitors each year from countries all over the world. With a vibrant arts and culture scene, a beautiful natural environment and world-class tourism attractions, we also have a proud history and a heritage to preserve and protect for future generations.www.facebook.com/cityofgoldcoastwww.Instagram.com/CityofGoldCoastPrivacy Collection notice: https://www.goldcoast.qld.gov.au/Privacy",1996,3027,"Bundall, Queensland, Australia",,,Surfers Paradise,,,"135 bundall road, surfers paradise, queensland 4217, au",4217,+61755828211,government administration,,,,"Gold Coast,Government Administration,Community,Planner,graduate,HR,Development officer,Investment,Lifeguard,Landscape planner,Senior planner,Engineer,Project manager,maintenance,construction,infrastructure,civil,Advisor,officer,marketing,operations,procurement,team leader,Communication,Horticulturist,STEM,Digital,Artificial Intellegience,Diversity",1001-5000,"http://twitter.com/cityofgoldcoast, http://www.facebook.com/cityofgoldcoast","community, government administration, gold coast",,"reCAPTCHA, YouTube, Sequence Monitor SPF, SOASTA, OpenSSL, Mobile Friendly, Microsoft-IIS, Microsoft Office 365, Linkedin Marketing Solutions, Google translate widget, Google translate API, Google Tag Manager, Google Play, Google Maps (Non Paid Users), Google Maps, Google Analytics, Google AdSense, Facebook Widget, Facebook Login (Connect), Facebook Custom Audiences, F5 BIG-IP, Drupal, DoubleClick, Bootstrap Framework, Apache, Akamai DNS, Akamai, AddThis, Ad Unit 728 x 90, Ad Unit 300 x 250, ASP.NET",,,,,
IDP Education Ltd,https://www.linkedin.com/company/idp-education-pty-ltd,https://www.linkedin.com/company/27585,idp.com,"We are making global success personal!As the global leader in international education, we have focused on building trusted human relationships for more than 50 years. In recent years, our investment in digital technology and customer research have enhanced these personal connections, enabling us to deliver global success to more students, test takers and our partners. Proudly customer-first, our expert people are powered by global technology. Together, we offer unmatched services, helping local dreams become realities, all over the world.And best yet, at 50, we are just getting started.",,7307,"Docklands, Victoria, Australia",,,Docklands,,,,,,education administration programs,,,,"Student Placement,International English Language Testing System (IELTS),English Language Teaching,Digital marketing",5001-10000,,,,,,,,,
Premier\'s Department NSW,https://www.linkedin.com/company/premiers-department-nsw,https://www.linkedin.com/company/784726,nsw.gov.au,"The Premier’s Department:🔵 Leads the state’s 430,000 public servants by modelling a culture of service and collaboration and embeds the voice of Aboriginal people and communities across the sector.🔵 Ensures meaningful engagement with the community, industry and partners, and supports our front-line workforce and communities in times of crisis.🔵 Ensures a whole of government approach to resolving urgent issues and crisis management.🔵 Drives delivery of whole of government priorities and election commitments including oversight, assurance and complex cross agency delivery.🔵 Works with The Cabinet Office and Treasury to ensure that proposals for Cabinet are fully developed.🔵 Provides corporate services to Premier’s Department and The Cabinet Office.Our LinkedIn page strives to create a community that is respectful, reliable, relevant, and safe. For more information on how we maintain these standards, please refer to our Social Media Community Guidelines: bit.ly/PD-community-guidelines",,664,"Millers Point, New South Wales, Australia",,,Sydney,,,,,,government administration,,,,"Policy,jobs,events,services,management,governance,reform,collaboration,community,strategic communication,government",501-1000,,,,,,,,,
Australian Taxation Office,https://www.linkedin.com/company/australian-taxation-office,https://www.linkedin.com/company/7165,ato.gov.au,"Our LinkedIn page provides you with up-to-date information and tips about tax and super in Australia. Our friendly team can answer general questions you may have, but to protect your security and privacy, we cannot discuss details about your personal tax affairs on social media. Learn more at https://www.ato.gov.au/General/Online-services/In-detail/Join-the-discussion-online/. If you have a personal question, please phone us (see https://www.ato.gov.au/About-ATO/Contact-us/Phone-us/). Remember to never disclose personal information such as your TFN on social media. Tax impacts all Australians and we welcome questions and commentary, including constructive feedback. We expect that users of this page post comments that are relevant and respectful to the community as a whole. Refer to our terms of use for details at ato.gov.au/termsofuseThis is our only official LinkedIn page (URL: https://www.linkedin.com/company/australian-taxation-office/). If you receive an offer for support from another account that is impersonating us, we strongly encourage you not to engage with it, and to report it to us: https://www.ato.gov.au/General/Online-services/Identity-security-and-scams/Verify-or-report-a-scam/ Our official accounts on other platforms can be found at:-facebook.com/ato.gov.au-twitter.com/ato_gov_auWe have a vibrant, inclusive and client-focused culture. We celebrate and champion diversity to reflect the community we serve. If you are interested in a career with the ATO, see our current availabilities at https://www.ato.gov.au/About-ATO/Careers/ or advertised in the jobs tab. Join our online community at: community.ato.gov.au",,9149,"Russell, Australian Capital Territory, Australia",,,Canberra,,,,,,government administration,,,,,5001-10000,,,,,,,,,
NSW Police Force,https://www.linkedin.com/company/nsw-police-force,https://www.linkedin.com/company/3708,nsw.gov.au,"The NSW Police Force is:- Australia's oldest and largest police organisation, - one of the biggest in the English speaking world, - serves a population of seven million in the state of New South Wales, an 801,600 square kilometre area, - operates on land, sea and from the air, - provides community based policing from more than 500 police stations to a wide range of ethnic communities speaking more than 30 languages,",1862,3424,"Harris Park, New South Wales, Australia",,,Sydney,,,"1 charles street, parramatta, sydney, new south wales 2150, au",2150,+61131444,law enforcement,,,,,1001-5000,,,,"reCAPTCHA, iTunes, iPerceptions, iGoDigital, Zendesk, Zencoder, YouTube, Wufoo, WordPress.org, Woo Commerce, Wistia, Vision6, Vimeo, Varnish, Ubuntu, Typekit, Twitter Advertising, Tumblr, The Trade Desk, Taleo, Taboola, SurveyMonkey, SoundCloud, SiteCore, Shutterstock, ShareThis, SharePoint, Segment.io, Salesforce, Ruxit, Ruby On Rails, Route 53, React JS Library, Quantcast, Qualtrics, Pure Chat, Piwik, Paypal, PHP 5.3, OpenSSL, Olark, Nginx, New Relic, Multilingual, MouseFlow, Mobile Friendly, Moat, Mindbody, Microsoft-IIS, MailChimp, LiveZilla, LiveChat, Linkedin Widget, Linkedin Marketing Solutions, Linkedin Login, Kentico, Joomla, JW Player, JQuery 2.1.1, JQuery 1.11.1, Intercom, Incapsula, Hubspot, Hotjar, Helpscout, Gravity Forms, Google translate widget, Google translate API, Google Tag Manager, Google Remarketing, Google Plus, Google Play, Google Places, Google Maps (Non Paid Users), Google Maps, Google Font API, Google Dynamic Remarketing, Google Custom Search, Google Analytics Ecommerce Tracking, Google Analytics, Google AdWords Conversion, Google AdSense, Gigya Registration, Gigya, Formsite, Flowplayer Commercial, Flowplayer, Feedbackify, Facebook Widget, Facebook Login (Connect), Facebook Like Button, Facebook Custom Audiences, F5 BIG-IP, Eventbrite, Eloqua, Drupal, DoubleClick Floodlight, DoubleClick Conversion, DoubleClick, DotNetNuke, Django, Disqus, CrazyEgg, Cornerstone On Demand, Clicky, Civic Plus, Citrix NetScaler, Chartbeat, CampaignMonitor, BugHerd, Braintree, Bootstrap Framework v3.2.0, Bootstrap Framework, Backbone JS Library, AppNexus, Apache, AngularJS, Amazon AWS, Amadesa, Adobe Media Optimizer, Adobe Coldfusion, Adobe CQ, AddThis, AdRoll, ASP.NET",,,,,
Chisholm Institute,https://www.linkedin.com/company/chisholm-institute,https://www.linkedin.com/company/10489,chisholm.edu.au,"From certificates to degrees, our courses are nationally accredited and recognised by industry throughout Australia. Training is offered across our eight campuses, online and in the workplace. Find out more at www.chisholm.edu.au",1998,1504,"Dandenong, Victoria, Australia",,,Dandenong,,,"121 Stud Road, Dandenong, Victoria 3175, AU",3175,,education administration programs,education management,,,,1001-2000,"https://twitter.com/Chisholm_Inst, https://facebook.com/ChisholmInstitute",,629000,,,,,,
NSW Department of Education,https://www.linkedin.com/company/nsw-department-of-education,https://www.linkedin.com/company/5948,nsw.gov.au,"At the NSW Department of Education, our goal is to be Australia's best education system and one of the finest in the world. We prepare young people for rewarding lives as engaged citizens in a complex and dynamic society.With nearly 100,000 employees working in schools and offices throughout the state, we can offer you a varied and rewarding career in your chosen field. Working with us gives you access to:- flexible working conditions- attractive salaries- generous holidays- opportunities for advancement- a culture of professional supportBy supporting every one of our employees to meet their personal goals at work, we can best meet NSW's goals for quality public education.Follow us on Twitter: @NSWEducation",,33818,"Sydney, New South Wales, Australia",,,Sydney,,,,,,education administration programs,education management,,,"Schools,Education,Vocational education,Aboriginal Affairs,Educational research,Training and Apprenticeships,Special Education,Early Childhood administration,Teaching",10000+,,,,,,,,,
