company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,company_email
Energy Queensland,https://www.linkedin.com/company/energyq,https://www.linkedin.com/company/12175890,energyq.com.au,"Energy Queensland formed in 2016 with the merger of Ergon Energy and Energex, creating a single energy company that powers communities from Tweed Heads up to the Torres Strait and from Brisbane across to Birdsville.Bringing these organisations together is not just about efficiency, but about creating a strong future for the state’s energy system.Energy Queensland provides an opportunity to deliver better outcomes for customers, employees and all Queenslanders, as we effectively manage the state's electricity network and prepare it for the demands of the future.Energy Queensland is finding ways to minimise the impact of electricity network costs on customers, and release funds for better services for all Queenslanders. We also support growth and development of regional Queensland, helping to keep people in local communities.We acknowledge the Traditional Custodians and pay our respect to all Elders past, present and emerging on whose land we walk, work and live on, and their continuing connection to land, sea and community.",2016,2525,"Shelly Beach, Queensland, Australia",,,Townsville,,,"420 Flinders Street, Townsville, Queensland 4810, AU",4810,+61132296,utilities,,,,"Electricity Distribution,Electricity Retail,Energy Services",1001-5000,,"energy services, electricity retail, electricity distribution",,"Mobile Friendly, Mimecast, Google Tag Manager, Google Font API, AddThis",,,,,
AusNet,https://www.linkedin.com/company/ausnetservices,https://www.linkedin.com/company/16893,ausnetservices.com.au,"We are Victoria's largest diversified energy network business and we connect communities with reliable, affordable and sustainable energy.  Our vision is to be trusted to bring the energy today and build a cleaner tomorrow.With over $13 billion in assets, we operate three core regulated networks: electricity distribution, gas distribution and the state-wide electricity transmission network.We also have a portfolio of contracted energy infrastructure.Our commercial business Mondo provides a range of energy and technical services and solutions.We have a dedicated team of over 1,300 employees who serve around 1.6 million customers.",,1745,"Southbank, Victoria, Australia",,,Southbank,,,,,,utilities,,,,,1001-2000,,,,,,,,,
Transgrid,https://www.linkedin.com/company/transgrid,https://www.linkedin.com/company/31497,transgrid.com.au,"We’ve ensured the smooth operation of over 13,085 km of high-voltage transmission lines and 128 substations and switching stations across NSW and the ACT, with interconnections to QLD and VIC.Our most crucial work is leading the transition to Australia’s clean energy future. The traditional coal system that served our country for decades is nearing the end of its life, to be replaced by wind and solar generation.We’re making the right decisions now to prepare for the opportunities and challenges ahead – a changing climate, population growth and technology innovation.As we lead the way towards a more resilient future, we’re working closely with our customers and communities to make sure no one is left behind.Wherever you are in NSW or the ACT, you can be confident in the reliable, affordable and sustainable electricity we transmit as we make a better power system for generations to come.",1950,1645,"Millers Point, New South Wales, Australia",,,Sydney,,,"180 thomas st, sydney, new south wales, australia",2000,+61292843000,electrical/electronic manufacturing,utilities,,,"Systems Protection,Power System Analysis,Telecommunications",1001-2000,"https://twitter.com/Transgrid_AU, https://www.facebook.com/TransGrid/","energy, telecommunications, power system analysis, electricity transmission, high voltage transmission, systems protection",421000000,"Linkedin Marketing Solutions, reCAPTCHA, YouTube, SuccessFactors (SAP), Salesforce, Mobile Friendly, Mimecast, Microsoft Office 365, Marketo, Google Tag Manager, Google Analytics, Facebook Widget, Facebook Login (Connect), Facebook Custom Audiences, Atlassian Cloud, ASP.NET",,,,,info@transgrid.com.au
WaterNSW,https://www.linkedin.com/company/waternsw,https://www.linkedin.com/company/6622935,waternsw.com.au,"At WaterNSW we are custodians of the state’s water, a vital natural resource.  It is our responsibility to capture, store and deliver water, when and where it matters.  We operate the state’s dams like Warragamba Dam in Greater Sydney and Burrendong Dam in regional NSW, using our knowledge of nature, science and engineering. We then supply that water ready for distribution – for the environment, agriculture, industry and the community.  With 41 major dams and hundreds of waterways across the state, we play a vital role at the source of the state’s water, delivering two thirds of all water used in NSW.  The water we supply supports more than 8 million people across NSW – it is used by regional towns, farmers, the environment and customers, like Sydney Water.  Every day we operate our assets and manage water responsibly to meet the needs of our customers and communities now, and into the future. ",2015,860,"Harris Park, New South Wales, Australia",,,Sydney,,,"level 14, 169 macquarie street, parramatta, sydney, nsw 2150, au",2150,+611300662077,utilities,,,,"Water delivery,Water infrastructure solutions,Catchment protection,Water supply security and reliability,Water quality,Asset development,Customer service,Bulk water supply,Water Storage,Water Resource Management",501-1000,"https://twitter.com/WaterNSW, https://www.facebook.com/WaterNSW/","customer service, water quality, water storage, water resource management, asset development, water delivery, bulk water supply, water infrastructure solutions, catchment protection, water supply security & reliability",,"reCAPTCHA, ServiceNow, React Redux, React, Mobile Friendly, Microsoft Office 365, Mailchimp Mandrill, MailJet, Hotjar, Google Tag Manager, Google Font API, Google Apps, Gmail, Bootstrap Framework",,,,,
Snowy Hydro Limited,https://www.linkedin.com/company/snowyhydro,https://www.linkedin.com/company/53519,snowyhydro.com.au,"Snowy Hydro is a dynamic and growing integrated energy business that supplies electricity to more than one million homes and businesses. The Snowy Hydro Group includes our generation business and three retail companies: Red Energy, Lumo Energy and Direct Connect.  Our role is to provide national energy security, help with the transition to a new era of renewables, and maintain healthy competition in the retail energy markets.  Our retail companies put customers first and continue to be recognised as leaders in customer service and support.  Our story began in 1949 with the construction of the Snowy Mountains Hydro-electric Scheme, which included nine power stations, 16 major dams, 80 kilometres of aqueducts and 145 kilometres of interconnected tunnels.Today we have a generation capacity of 5,500MW, including our gas-fired and diesel-fired assets, and are the fourth-largest retailer in the energy market.Snowy Hydro is well underway with the construction of the Snowy 2.0 pumped-hydro project, which will add 2,000MW of generation and 175 hours of storage to the energy market. As leaders in renewable energy we have also signed contracts for more than 1,000MW of renewable generation from 10 wind and solar projects.These are exciting additions to our energy portfolio that will help underpin energy security and Australia’s renewable energy future. Snowy Hydro has been incorporated under the Corporations Act (Cth) 2001 since 2002, and is governed by an independent Board of Directors.For more than 70 years, Snowy has been a proud member and supporter of the communities in which we live and work. We make a significant contribution to the local economy through jobs, investment and business opportunities.  ",,927,"Bunyan, New South Wales, Australia",,,Cooma,,,,,,utilities,,,,,501-1000,,,,,,,,,info@snowyhydro.com.au
APA Group,https://www.linkedin.com/company/apa-group,https://www.linkedin.com/company/450591,apa.com.au,"APA Group is a leading Australian energy infrastructure business, owning, operating and managing a diverse $26 billion portfolio. We are proud of the role we play in delivering energy solutions to millions of customers in everyState and Territory.",2000,2904,"Millers Point, New South Wales, Australia",,,Sydney,,,"580 george street, 580 george street, sydney, new south wales, au, 2000",2000,+61296930000,utilities,,,,"Gas Transmission,Engineering,Construction,Hydrogen,Pipelines,Natural Gas,Energy Infrastructure,Energy Solutions,Solar,Wind,Renewable energy,Microgrids,Electricity transmission",1001-5000,https://twitter.com/APAGroup,"construction, engineering, hydrogen, natural gas, pipelines, energy solutions, energy infrastructure, gas transmission",1881870000,"ServiceNow, Mobile Friendly, Microsoft Office 365, Melbourne IT, Google Tag Manager, EPiServer, CloudFlare Hosting, Atlassian Cloud, Amazon AWS, ASP.NET",,,,,
Alinta Energy,https://www.linkedin.com/company/alinta-energy,https://www.linkedin.com/company/777750,alintaenergy.com.au,"Alinta Energy is a leading Australian utility with an owned and contracted generation portfolio of 3,000MW, over 1 million combined electricity and gas retail customers, and around 1,000 employees across Australia and New Zealand.  We’ve been supplying energy in Australia for over 20 years. Today we’re a vertically integrated energy company, providing generation, retail and wholesale supply of gas and electricity across Australia. We also offer local customer service through our support hubs in Perth, Western Australia and Morwell in Victoria.  Alinta Energy continues to support the development of renewable energy generation, with a 2025 target for 1,500MW of owned and contracted renewable energy generation nationally. ",1995,1317,"Millers Point, New South Wales, Australia",,,Sydney,,,"225 George Street, Grosvenor Place, Sydney, New South Wales, AU, 2000",2000,+61133702,utilities,,,,"Power Generation,Natural Gas Supply,Electricity Supply,Energy Trading,Business Energy,Solar Panels",1001-2000,"https://twitter.com/alintaenergy, https://www.facebook.com/alintaenergy","power generation, energy trading, solar panels, electricity supply, business energy, natural gas supply",2528430000,"StackAdapt, YouTube, React Redux, React, Vimeo, SiteCore, Sendgrid, New Relic, Mobile Friendly, Mimecast, Microsoft-IIS, Microsoft Office 365, Microsoft Azure Monitor, Kentico, Google Tag Manager, Genesys, Fonts.com, Atlassian Cloud, Amazon SES, Akamai DNS, Akamai, ASP.NET",,,,,
Ausgrid,https://www.linkedin.com/company/ausgrid,https://www.linkedin.com/company/9168,ausgrid.com.au,"Ausgrid is Australia's largest distributor of electricity, provided products and services to 1.7 million customers in Sydney, the Hunter and the Central Coast.Since becoming a new business on 1 December 2016, Ausgrid has begun a significant transformation program to deliver three clear priorities - providing affordable, reliable and sustainable energy.Ausgrid operates, maintains and builds the grid powering Sydney - the nation's largest economy - and our diverse customer base ranges from family homes, to small businesses, rural customers and large national and global corporations. The grid supplies industries such as mining, manufacturing, oil refining, shipping, engineering, tourism and agriculture. As the energy sector rapidly evolves, Ausgrid is working to ensure its investment decisions and service delivery meets all customers'​ needs. We are committed to consulting with stakeholders and customers, drive down operating costs and ensure customers are getting value for money. Our vision is to be a leading energy solutions provider, recognised both locally and globally. Ausgrid will continue to connect communities and empower lives and the business will achieve that by working closely with customers and stakeholders. ",1904,2383,"Millers Point, New South Wales, Australia",,,Haymarket,,,"570 george street, sydney, new south wales, australia, 2000",2000,+61131388,utilities,,,,Ausgrid is an industry leader in energy services and safety.,1001-5000,"https://twitter.com/ausgrid, https://www.facebook.com/Ausgrid/",ausgrid is an industry leader in energy services & safety,1899160000,"Atlassian Cloud, VueJS, SuccessFactors (SAP), Sendgrid, Qualtrics, Pardot, Mobile Friendly, Microsoft-IIS, Microsoft Office 365, Microsoft Azure Hosting, Google Tag Manager, Google Analytics, Amazon SES, ASP.NET",,,,,
Jemena,https://www.linkedin.com/company/jemena,https://www.linkedin.com/company/307113,jemena.com.au,"Jemena owns and operates a diverse portfolio of energy assets across the east coast of Australia and the Northern Territory. With more than $11.5 billion worth of major utility infrastructure, we supply millions of households and businesses with essential services every day.We have more than a century’s experience and expertise in the utilities sector and, with our strong portfolio of high-quality distribution and transmission assets, we are ready to make the most of opportunities for growth and innovation in our operations.As a provider of gas and electricity we have enduring relationships with our customers and the communities where we operate. They are at the heart of our commitment to deliver energy safely, reliably and affordably, and to the sustainable growth of our business in the long term.",2008,1425,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,"567 collins street, melbourne, victoria, australia",3000,+611300536362,utilities,,,,"Infrastructure development, management and ownership,Gas transmission pipelines,Electricity in Victoria,Gas in NSW",1001-2000,"https://twitter.com/jemenaltd, https://www.facebook.com/JemenaLtd/","infrastructure development, management & ownership, gas transmission pipelines, electricity in victoria, gas in nsw",4493000,"YouTube, VueJS, Typekit, ServiceNow, React, Outlook, Mobile Friendly, Microsoft-IIS, Microsoft Azure Hosting, Kentico, JQuery 1.11.1, Hotjar, Google Tag Manager, Google Maps (Non Paid Users), Google Maps, CSC Corporate Domains, Atlassian Cloud, Apache Coyote v1.1, Apache Coyote, Apache, ASP.NET",,,,,
Endeavour Energy (NSW),https://www.linkedin.com/company/endeavourenergy,https://www.linkedin.com/company/2006906,endeavourenergy.com.au,"Endeavour Energy is a safety focused and customer-centred business determined to be the best performing network in Australia. Our people take great pride in being of service to our communities by efficiently distributing electricity to our customers in a way that is safe, reliable and sustainable. We manage a $6.2 billion electricity distribution network serving more than a million connected customers, or 2.4 million people, living and working across 24,800 square kilometres in Sydney’s Greater West, the Blue Mountains, the Southern Highlands, Illawarra and the South Coast of NSW. Our network powers Australia’s third largest economy, and includes Sydney’s North West and South West Priority Growth Centres, established in 2005 to house 500,000 new residents over 30 years in suburbs similar in size to Wollongong and Canberra.The region is also home to Sydney’s proposed second airport. We’re owned by an Australian-led consortium of institutional investors with world class experience in investing and managing regulated utilities across the globe. The consortium has a clear objective to create long-term value by efficiently investing in Endeavour Energy’s assets to improve safety and customer outcomes.  The consortium acquired 50.4% ownership of the rights to manage Endeavour Energy’s network assets under a 99 year lease in June 2017.  It’s led by Macquarie Infrastructure and Real Assets (MIRA), and includes AMP Capital, British Columbia Investment Management Corporation and Qatar Investment Authority. The NSW Government retains a 49.6% interest and continues to licence safety and reliability.",1912,1224,"Harris Park, New South Wales, Australia",,,Parramatta,,,,,+61298536141,utilities,,,,"Electricity supply,Electricity transmission and distribution,Electrical engineering,Capital, infrastructure projects,Workplace safety,Electrical safety,Streetlight design, construction & maintenance,Project management,Electrical design,Security lighting for businesses",1001-2000,"https://twitter.com/endeavourenergy, https://facebook.com/endeavourenergy",,,,,,,,
Origin Energy,https://www.linkedin.com/company/origin-energy,https://www.linkedin.com/company/165342,originenergy.com.au,"Origin is one of Australia's leading energy companies, exploring, generating and delivering energy to over 4 million customer accounts. Our purpose – getting energy right for our customers, communities and planet – drives everything we do. As Australia's largest energy retailer, we have an important role to play in providing electricity, natural gas, solar and LPG to Australian communities and work every day to make energy more affordable, more sustainable, smarter and easier for our customers.We are committed to leading the transition to a cleaner energy future and believe our company, and the energy industry more broadly, should be at the forefront of action to reduce carbon emissions. Origin was the first Australian company to set an emissions reduction target endorsed by the Science Based Targets initiative (SBTi) – aiming to halve our Scope 1 and Scope 2 carbon emissions by 2032, as we work towards achieving net zero emissions by 2050.Through the Origin Energy Foundation, we support programs that use education to help break the cycle of disadvantage and empower young Australians to reach their potential, contributing more than $27 million to support community organisations since 2010.View our community guidelines here: http://bit.ly/1GQP6E9",,6218,"Millers Point, New South Wales, Australia",,,Sydney,,,,,,utilities,,,,"oil and gas exploration,production,power generation,energy retailing,electricity,gas,Solar power",5001-10000,,,,,,,,,
Clean Energy Council,https://www.linkedin.com/company/clean-energy-council,https://www.linkedin.com/company/639827,cleanenergycouncil.org.au,"The Clean Energy Council is the peak body for the clean energy industry in Australia. We represent and work with hundreds of leading businesses operating in solar, wind, energy efficiency, hydro, bioenergy, energy storage, geothermal and marine along with more than 5000 solar installers.We are committed to accelerating the transformation of Australia's energy system to one that is smarter and cleaner.Authorised by K.Thornton, CEC, Melbourne",2007,168,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,"level 15, 222 exhibition st, melbourne, vic 3000, au",3000,,renewable energy power generation,renewable energy semiconductor manufacturing,semiconductors,,,51-200,"https://twitter.com/cleannrgcouncil, https://www.facebook.com/cleanenergycouncil",,4081000,"Vimeo, TribalFusion, Sendgrid, Salesforce, Outlook, Mobile Friendly, Marketo, Google Tag Manager, Facebook Widget, Facebook Login (Connect), Facebook Custom Audiences, DNS Made Easy, CloudFlare Hosting, CloudFlare CDN, Act-On",,,,,info@cleanenergycouncil.org.au
